h.m,00h00,00h15,00h30,00h45,01h00,01h15,01h30,01h45,02h00,02h15,02h30,02h45,03h00,03h15,03h30,03h45,04h00,04h15,04h30,04h45,05h00,05h15,05h30,05h45,06h00,06h15,06h30,06h45,07h00,07h15,07h30,07h45,08h00,08h15,08h30,08h45,09h00,09h15,09h30,09h45,10h00,10h15,10h30,10h45,11h00,11h15,11h30,11h45,12h00,12h15,12h30,12h45,13h00,13h15,13h30,13h45,14h00,14h15,14h30,14h45,15h00,15h15,15h30,15h45,16h00,16h15,16h30,16h45,17h00,17h15,17h30,17h45,18h00,18h15,18h30,18h45,19h00,19h15,19h30,19h45,20h00,20h15,20h30,20h45,21h00,21h15,21h30,21h45,22h00,22h15,22h30,22h45,23h00,23h15,23h30,23h45
" 3121114.BW (TRAFFIC VALUE) 31-03-1998",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.017778,0.000000,0.022222,0.173332,0.475551,0.377774,0.751104,1.151100,3.262189,3.626630,4.817729,3.186635,2.039979,3.053303,3.977738,1.675539,2.275533,3.102191,2.893304,3.119969,2.084424,1.924425,3.097747,2.635529,2.888860,1.728872,1.373320,0.782214,0.715548,0.879991,3.191079,1.711094,2.448864,1.808871,1.062212,2.804416,1.777760,1.795537,0.808881,1.688872,1.866648,2.146645,2.506642,2.399976,2.453309,1.431097,1.173322,1.777760,1.693316,1.706650,1.808871,2.146645,1.364431,0.964435,2.533308,1.364431,0.302219,0.119999,0.115554,0.044444,0.071110,0.000000,0.026666,0.293330,0.000000,0.044444,0.000000,0.017778,0.000000,0.000000,0.000000,0.000000
" 3121711.BW (TRAFFIC VALUE) 31-03-1998",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.364441,0.075555,0.115554,0.022222,0.786659,0.408885,1.519985,3.057747,0.964435,2.013313,1.733316,0.915546,2.324421,1.328876,2.337754,1.444430,0.000000,0.542217,0.079999,0.319997,0.853325,0.751104,0.244442,0.493328,0.888880,1.284432,1.528874,0.564439,0.799992,1.475541,0.324441,0.919991,1.293320,2.115534,1.604428,0.964435,0.688882,0.457773,0.759992,1.444430,0.982212,0.839992,0.608883,0.502217,0.106666,0.239998,0.000000,0.000000,0.000000,0.048888,0.195554,0.000000,0.000000,0.151110,0.000000,0.000000,0.000000,0.133332,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
" 3122161.BW (TRAFFIC VALUE) 31-03-1998",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004444,0.217776,0.622216,0.000000,0.115554,0.377774,0.044444,0.173332,0.111110,0.399996,0.546661,0.395552,0.706660,0.253331,0.000000,0.000000,0.271108,0.324441,0.093332,0.000000,0.066666,0.102221,0.315552,0.137776,0.328886,0.128888,0.231109,0.675549,0.000000,0.333330,0.000000,0.462218,0.248886,0.000000,0.204442,0.000000,0.000000,0.000000,0.000000,0.199998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
" 3122203.BW (TRAFFIC VALUE) 31-03-1998",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.106666,0.000000,0.000000,0.000000,0.000000,0.208887,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.044444,0.044444,0.000000,0.000000,0.000000,0.000000,0.182220,0.004444,0.000000,0.000000,0.000000,0.000000,0.000000,0.275553,0.515550,0.000000,0.382218,0.022222,0.093332,0.204442,0.088888,0.062222,0.093332,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.111110,0.111110,0.106666,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
" 3123311.BW (TRAFFIC VALUE) 31-03-1998",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.111110,0.000000,0.000000,0.235553,0.484440,0.146665,0.595550,1.017768,1.044434,0.088888,0.000000,0.093332,0.000000,0.702215,0.102221,0.057777,0.000000,0.044444,0.964435,0.159998,0.000000,0.000000,0.000000,0.000000,0.591105,0.133332,0.217776,0.457773,0.151110,0.000000,0.328886,0.511106,0.328886,0.937768,0.022222,0.097777,0.000000,0.048888,0.551106,0.346663,0.000000,0.031111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
" 3125055.BW (TRAFFIC VALUE) 31-03-1998",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004444,0.088888,0.982212,0.866658,2.097757,1.991091,2.688862,1.693316,1.599984,1.457763,1.235543,1.004434,0.835547,1.777760,1.759982,1.986647,0.653327,0.959990,0.728882,0.822214,0.115554,0.000000,0.000000,0.000000,0.062222,0.115554,0.879991,0.399996,0.871102,0.364441,0.933324,1.648872,0.453329,0.093332,0.497773,1.266654,1.697761,1.733316,1.333320,1.079989,1.657761,1.448874,1.653317,0.479995,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.053333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
" 3110002.BW (CONNECTED CHANNELS) 31-03-1998",6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000
" 3110382.BW (CONNECTED CHANNELS) 31-03-1998",9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000
" 3111521.BW (CONNECTED CHANNELS) 31-03-1998",6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000
" 3111555.BW (CONNECTED CHANNELS) 31-03-1998",8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000
